time_iso,time_ms,open,high,low,close,volume
2026-03-10T20:16:00.000Z,1773173760000,24997,25001.3,24989.2,24989.8,290
2026-03-10T20:17:00.000Z,1773173820000,24990.3,24993.9,24984.5,24993.9,266
2026-03-10T20:18:00.000Z,1773173880000,24994.2,25000.5,24990.7,24993.8,290
2026-03-10T20:19:00.000Z,1773173940000,24992.7,24992.8,24989,24991.8,210
2026-03-10T20:20:00.000Z,1773174000000,24992,25006.5,24992,25002,266
2026-03-10T20:21:00.000Z,1773174060000,25001.8,25004.8,24996.9,24998.4,262
2026-03-10T20:22:00.000Z,1773174120000,24998.4,24999.8,24993.3,24998.3,258
2026-03-10T20:23:00.000Z,1773174180000,24998.8,24999.8,24995.2,24999,198
2026-03-10T20:24:00.000Z,1773174240000,24998.7,25002.2,24995.5,25000,211
2026-03-10T20:25:00.000Z,1773174300000,25000.3,25001.5,24997,24997.3,232
2026-03-10T20:26:00.000Z,1773174360000,24997.3,24997.3,24991.3,24993.8,184
2026-03-10T20:27:00.000Z,1773174420000,24993.6,24996.4,24991.2,24995.4,193
2026-03-10T20:28:00.000Z,1773174480000,24995.6,24998.6,24994.3,24997.1,177
2026-03-10T20:29:00.000Z,1773174540000,24997.1,25000.4,24994.4,24996.4,182
2026-03-10T20:30:00.000Z,1773174600000,24996.4,25001.4,24996.1,25000.4,149
2026-03-10T20:31:00.000Z,1773174660000,25000.8,25001.4,24997.7,24997.7,162
2026-03-10T20:32:00.000Z,1773174720000,24997.5,25000.5,24993.1,24993.1,138
2026-03-10T20:33:00.000Z,1773174780000,24993.4,24994.7,24990.2,24991.6,175
2026-03-10T20:34:00.000Z,1773174840000,24991.8,24994.7,24990.5,24993,189
2026-03-10T20:35:00.000Z,1773174900000,24993.6,24997.1,24990.3,24990.3,188
2026-03-10T20:36:00.000Z,1773174960000,24990.3,24990.6,24983.6,24986.5,196
2026-03-10T20:37:00.000Z,1773175020000,24987.4,24990.4,24986.1,24989.1,182
2026-03-10T20:38:00.000Z,1773175080000,24989.3,24991.6,24985.3,24985.9,190
2026-03-10T20:39:00.000Z,1773175140000,24985.8,24988.6,24983.5,24986.4,185
2026-03-10T20:40:00.000Z,1773175200000,24986.4,24991,24985.6,24989.4,219
2026-03-10T20:41:00.000Z,1773175260000,24989.6,24990.1,24981.6,24988.5,210
