time_iso,time_ms,open,high,low,close,volume
2026-02-17T14:30:00.000Z,1771338600000,24582.11328125,24596.021484375,24552.255859375,24557.212890625,0
2026-02-17T14:31:00.000Z,1771338660000,24548.431640625,24629.845703125,24548.431640625,24628.748046875,6673283
2026-02-17T14:32:00.000Z,1771338720000,24632.05078125,24644.748046875,24597.658203125,24600.341796875,10496827
2026-02-17T14:33:00.000Z,1771338780000,24606.205078125,24628.943359375,24606.205078125,24628.943359375,10453865
2026-02-17T14:34:00.000Z,1771338840000,24641.50390625,24687.6796875,24638.8046875,24687.6796875,7484190
2026-02-17T14:35:00.000Z,1771338900000,24676.912109375,24704.421875,24676.912109375,24694.919921875,6772214
2026-02-17T14:36:00.000Z,1771338960000,24700.080078125,24723.91015625,24700.080078125,24716.62890625,5145202
2026-02-17T14:37:00.000Z,1771339020000,24721.8125,24735.974609375,24717.896484375,24731.380859375,4882065
2026-02-17T14:38:00.000Z,1771339080000,24726.30859375,24740.53515625,24713.802734375,24713.802734375,4742015
2026-02-17T14:39:00.000Z,1771339140000,24707.1171875,24745.1328125,24707.1171875,24737.048828125,4282055
2026-02-17T14:40:00.000Z,1771339200000,24724.45703125,24733.517578125,24709.630859375,24721.0703125,5267523
2026-02-17T14:41:00.000Z,1771339260000,24724.921875,24740.26953125,24706.875,24706.875,4104145
2026-02-17T14:42:00.000Z,1771339320000,24709.025390625,24718.833984375,24683.083984375,24683.083984375,4052922
2026-02-17T14:43:00.000Z,1771339380000,24684.27734375,24692.384765625,24649.03125,24649.03125,4681908
2026-02-17T14:44:00.000Z,1771339440000,24646.337890625,24652.11328125,24619.279296875,24629.72265625,4735362
2026-02-17T14:45:00.000Z,1771339500000,24626.97265625,24626.97265625,24595.287109375,24597.1484375,6196431
2026-02-17T14:46:00.000Z,1771339560000,24599.03125,24635.68359375,24599.03125,24608.205078125,5623862
2026-02-17T14:47:00.000Z,1771339620000,24603.1171875,24603.1171875,24554.380859375,24562.236328125,5367856
2026-02-17T14:48:00.000Z,1771339680000,24556.12109375,24588.974609375,24556.12109375,24577.15234375,5242121
2026-02-17T14:49:00.000Z,1771339740000,24577.6484375,24577.6484375,24559.31640625,24576.837890625,4343805
